qid,sentid,question,sentence text,label
1901,2,Is there any role for Pds5b in cohesion establishment?,"While both proteins contribute to telomere and arm cohesion, Pds5B is specifically required for centromeric cohesion.",0
757,26,Which are the major phycobiliproteins present in cyanobacteria?,I.,0
656,11,What symptoms characterize the Muenke syndrome?,Unilateral coronal synostosis results in anterior plagiocephaly (asymmetry of the skull and face).,0
1562,3,Is abdominal pain a common symptom in autism?,"Children with autism spectrum disorders (ASD) experience high rates of anxiety, sensory processing problems, and gastrointestinal (GI) problems",0
2037,15,Which virus type causes Molluscum contagiosum?,Molluscum contagiosum (MC) is a very common benign self-limiting cutaneous viral infection caused by molluscum contagiosum virus,0
49,7,Are ultraconserved elements often transcribed?,"Although the nature of these transcripts remains a mistery, our meta-analysis of RNA-Seq datasets indicates that they are unlikely to be short RNAs and that some of them might encode nuclear transcripts",0
2343,21,List main clinical features of the POEMS syndrome.,"The POEMS (polyneuropathy, organomegaly, endocrinopathy, monoclonal gammapathy, and skin changes) syndrome is a rare variant of plasma cell dyscrasia with multisystemic manifestations.",0
4028,47,"What does ""28"" stand for in the Disease Activity Score DAS28?","Disease activity assessment of rheumatoid arthritis in daily practice: validity, internal consistency, reliability and congruency of the Disease Activity Score including 28 joints (DAS28) compared with the Clinical Disease Activity Index (CDAI).",0
1423,17,What are the breath test biomarkers of pulmonary tuberculosis,Breath VOCs contained apparent biomarkers of active pulmonary tuberculosis comprising oxidative stress products (alkanes and alkane derivatives) and volatile metabolites of M.,1
1299,35,"Which tumor suppressor is referred to as ""the guardian of the genome""?",The tumor suppressor protein p53 is often referred to as the guardian of the genome,0
4203,8,Does AZD3759 cross the blood brain barrier?,sing class of EGFR TKI such as AZD3759 has been designed to penetrate blood brain barrier to treat brain metastases and leptomeningeal disease and has showed promising responses in patients with brain metastases.,0
694,13,Is there a phylogenetic analysis for HIV?," (HIV-1) dual infection (DI) has been associated with decreased CD4 T-cell counts and increased viral loads; however, the frequency of intrasubtype DI is poorly understood.",0
2479,12,Which R packages have been developed for the discovery of mutational signatures in cancer?,"Results on real data agree well with current knowledge.AVAILABILITY AND IMPLEMENTATION: signeR is implemented in R and C ++, and is available as a R package at http://bioconductor.org/packages/signeR",0
4021,1,Please list the 2 vaccines for herpes zoster(shingles),"Two different vaccines have been developed to prevent HZ; one is based on a live attenuated VZV strain (Zostavax), and the other is based on adjuvanted gE recombinant protein (Shingrix).",0
110,6,Is there a genetic component for happiness?,The heritability of happiness was estimated at 22% for males and 41% in females.,1
1853,9,Could hypophosphatemic rickets cause craniosynostosis?,"In XLHR, only few case reports of craniosynostosis were described.",0
3369,5,What is GeneCodeq?,Our approach can also be combined with existing lossy compression schemes to further reduce entropy and allows the user to specify a reference panel of expected sequence variations to improve the model accuracy.,1
226,8,Which protein is the E3-ubiquitin ligase that targets the tumor suppressor p53 for proteasomal degradation?,"p53 is inactivated in many human malignancies through missense mutations or overexpression of the human homologue of Mdm2 (Hdm2), an E3 ubiquitin ligase that ubiquitinates p53, thereby promoting its proteasomal degradation.",1
1833,14,What do statins do?,"This study was undertaken to investigate the immunomodulatory mechanisms of statins that target the IFN response in PDCs.We isolated human blood PDCs by flow cytometry and examined the effects of simvastatin and pitavastatin on PDC activation, IFNalpha production, and intracellular signaling.Statins inhibited IFNalpha production profoundly and tumor necrosis factor alpha production modestly in human PDCs in response to Toll-like receptor ligands",0
1844,24,What is the role of the UBC9 enzyme in the protein sumoylation pathway?,"Here we have identified host cell proteins involved with the cellular SUMOylation pathway, SUMO-1 (small ubiquitin-like modifier) and UBC9, a SUMO-1 conjugating enzyme that interact with classical swine fever virus (CSFV) Core protein",0
2164,11,Which is the most common gene signature in Rheumatoid Arthritis patients?,The 256 genes identified were used to derive a gene signature score by averaging their log expression within each patient.,0
1383,26,Is there an association between c-reactive protein concentrations and outcomes of subarachnoid hemorrhage patients? ,"CONCLUSIONS: Serum levels of ICAM-1, VCAM-1 and hsCRP during the early and late period following SAH correlate with DIND",0
444,15,What is the percentage of responders to tetrabenazine treatment for dystonia in children?,Transient improvement was achieved with tetrabenazine and baclofen,0
1279,13,Which could be some of the possible causes of hypersomnia?,"Sleep apnea syndrome (SAS), narcolepsy, chronic sleep deprivation (insufficiency), and restless legs/periodic limb movements in sleep syndrome (RLS/PLMS) represent the most common causes of hypersomnia.",0
3689,19,Which receptor is modulated with Siponimod?,"Discovery of BAF312 (Siponimod), a Potent and Selective S1P Receptor Modulator.",0
584,4,What is the main component of the Lewy bodies?,Parkinson's disease (PD) is characterized by the progressive degeneration of substantia nigra pars compacta (SNpc) dopaminergic neurones and the formation of Lewy bodies (LB) in a proportion of the remaining neurones.,1
1090,13,What is STARR-seq?,"This map reveals the highly complex regulation of transcription, with several independent enhancers for both developmental regulators and ubiquitously expressed genes.",0
71,11,Which human genes are more commonly related to craniosynostosis?,These results suggest that Nell-1 is likely a downstream target of Runx2,0
1716,19,Is the PTPN22 gene a biomarker for Rheumatoid Arthritis?,"These genes include PTPN22, TRAF1-C5, PADI4, STAT4",0
2767,6,Which organs are mostly affected in Systemic Lupus Erythematosus (SLE)?,Cutaneous lupus erythematosus (CLE) includes skin symptoms seen in SLE and cutaneous-limited LE.,0
1815,23,What is the mechanism of action of raxibacumab?,Raxibacumab provides additional protection against inhalational anthrax via a mechanism different from that of either antibiotics or active immunization.,0
2496,12,Does prolactinoma increase osteoporosis risk?,"CONCLUSION: In the premenopausal women, patients with prolactinoma or craniopharyngioma are often accompanied with osteopenia or osteoporosis, and disease duration and hypogonadism are the risk factors of bone loss in prolactinoma.",0
476,9,Is Rheumatoid Arthritis more common in men or women?,"Likewise, HAQ and VAS pain were rated significantly higher in women.",0
1218,2,Which type of lung cancer is afatinib used for?,"At present, only first-generation EGFR-tyrosine kinase inhibitors (TKIs) (erlotinib and gefitinib) are available for clinical use.",0
4202,3,Which protein is encoded by the protein APOBEC3C?,"apolipoprotein B mRNA-editing enzyme catalytic subunit 3C (APOBEC3C, a nucleic acid-editing deaminase)",1
1886,30,Which mutated gene is associated with Waardenburg and Tietz syndromes?,Mutations in the MITF have been found in patients with the dominantly inherited hypopigmentation and deafness syndromes Waardenburg syndrome type 2A (WS2A) and Tietz syndrome (TS).,0
3593,0,What is the cause of the disease Xeroderma Pigmentosum?,ERCC4 (XPF) encodes a protein that forms a complex with ERCC1 and is required for the 5' incision during nucleotide excision repair.,1
231,12,Do orphan and gene related CpG islands follow power-law-like distributions?,In both cases power-law-like linearity in double logarithmic scale is found.,0
1575,14,Which diseases can Oncotype DX be used for?,The Oncotype DX Recurrence Score (RS) is a validated genomic predictor of outcome and response to adjuvant chemotherapy in ER-positive breast cancer.,0
4055,3,Is progeria caused by an autosomal recessive gene?,I,0
1717,11,Is marijuana use associated with increased risk for stroke?,"We here describe 2 young patients (26 and 29 years, respectively) who suffered from ischemic stroke in temporal relation with cannabis consumption.",0
38,7,Does physical activity influence gut hormones?,Acylated ghrelin was lowest in the afternoon of SIE (P = 0.018) despite elevated appetite,0
4009,11,Why are male calico cats rare?,"he physical characteristics which suggested an abnormality of chromosome number in cats were ""calico"" or ""tortoise-shell"" coat colors in a male.",0
4027,13,Explain the use of Radio Frequency Ablation as a treatment,SIONS: Minimally invasive sonographically guided radio frequency thermal ablation is technically feasible for local treatment of unresectable recurrent retroperitoneal and pelvic tumors from different origins.,0
777,11,Which pituitary adenoma is common cause of infertility is women?,"Of the remaining six patients who had been investigated for infertility, no demonstrable cause of infertility was found in three.",0
1544,14,Could Hyperthermic intraperitoneal chemotherapy (HIPEC) be effective for the treatment of recurrent ovarian cancer?," The results of our study indicate the feasibility and the potential benefit of a protocol including systemic chemotherapy, surgical cytoreduction and HIPEC in patients with peritoneal carcinomatosis from ovarian cancer.",0
476,10,Is Rheumatoid Arthritis more common in men or women?,"432 females, 125 males",0
15,28,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,We conclude that Her2/neu expression in the peripheral blood mononuclear cell fraction of prostate cancer patients is frequent and therefore this assay may potentially be useful to detect the presence of micrometastatic disease in men with prostate cancer and for monitoring patients enrolled in trastuzumab-based therapeutic protocols.,0
1494,14,What is the role of the Ada O6-alkylguanine alkyltransferase in bacteria?,"The Ada protein acts both as a positive regulator of the response and as a DNA repair enzyme, correcting premutagenic O6-alkylguanine in DNA by suicidal transfer of the alkyl group to one of its own cysteine residues.",1
485,21,What is the gene mutated in the Gaucher disease?,mutated glucocerebrosidase alleles of Portuguese type 1 Gaucher patients,0
1965,7,Is butterfly rash a symptom of Systemic lupus erythematosus?,"The prevalence of the following manifestations was significantly higher for pediatric than for adult-onset disease including: lupus nephritis (43% pediatric vs 26.4% for adult-onset), hematological disorders (57% vs 36.4%), photosensitivity (20% vs 9%), butterfly rash (61% vs 35.5%) and mucosal ulceration (11.4% vs 4%).",0
1446,27,Describe Heyde syndrome.,"Heyde syndrome is described as the association of arteriovenous malformations (AVMs) of the gastrointestinal tract and aortic stenosis (AS); its existence,",1
839,14,Are seizures among the neurological symptoms of incontinentia pigmenti?,"Several clinical presentations could be identified, comprising seizures, infantile encephalopathy, acute disseminated encephalomyelitis and ischemic stroke",0
4061,16,Is acupotomy used to treat muscle stiffness?,Both acupotomy and acupuncture have been widely used clinically to treat CSR in China with satisfied efficacy.,0
1973,0,Which are the main brain dysfunctions caused by hyperbilirubinemia?,Bilirubin-induced neurologic dysfunction (BIND) and classical kernicterus are clinical manifestations of moderate to severe hyperbilirubinemia whenever bilirubin levels exceed the capacity of the brain defensive mechanisms in preventing its entrance and cytotoxicity.,1
354,7,What is membrane scission?, Force produced by actin similarly contributes in membrane scission in endocytosis or Golgi remodeling.,0
507,1,How early during pregnancy does non-invasive cffDNA testing allow sex determination of the fetus?,We determined fetal sex during the first trimester using a quantitative real-time polymerase chain reaction (PCR) assay of cffDNA in pregnant carriers of DMD.,0
1798,35,"What is the ""wearing-off"" phenomenon in levodopa-treated patients with Parkinson's Disease?","It is unlike the ""wearing-off"" phenomenon that occurs when dopaminergic drug levels decline and responds to dopaminergic rescue drugs.",0
1352,20,What is the correlation between SPARC expression and growth inhibition in human cancer?,"Finally, we demonstrated that SPARC, which has been previously associated with meningioma invasiveness, was increased in aggressive meningiomas.",0
3053,19,Which enzyme is deficient in Wolman disease?,Molecular defects underlying Wolman disease appear to be more heterogeneous than those resulting in cholesteryl ester storage disease.Human lysosomal acid lipase/cholesteryl ester hydrolase (hLAL) is essential for the intralysosomal metabolism of cholesteryl esters and triglycerides taken up by receptor-mediated endocytosis of lipoprotein particles.,0
4080,46,Which cytokine molecule activates SMADs?,"We here review the role of TGF-β1 and Smad7 in intestinal immunity, inflammation, and cancer.",0
2289,7,How are topologically associating domains (TAD) associated with replication timing?,Hi-C also segregates inter-TAD contacts into defined 3D spatial compartments that align precisely to genome-wide replication timing profiles.,0
121,4,List genes that have been found mutated in CMT1A (Charcot-Marie-Tooth disease type 1 A).,Many PMP22 mutants accumulate in excess in the endoplasmic reticulum (ER) and lead to the inherited neuropathies of Charcot-Marie-Tooth (CMT) disease.,0
3334,22,List characteristic features of the Revesz syndrome.,"The findings of myelofibrosis , retinopathy , and cerebral calcifications indicate that this could be a case of a rare condition known as Revesz syndrome .",0
2556,1,What is Alzheimers disease resilience?,Memory resilience occurs when genetically at-risk adults perform at high and sustained levels.,0
2041,8,List 3 indications for Bupropion,"Clinically, bupropion is used as a treatment for two indications, as an antidepressant, the indication for which it was developed, and as a tobacco use cessation agent",1
