qid,sentid,question,sentence text,label
3224,4,What is the function of GvpA?,"Gas vesicles are intracellular, microbial flotation devices that consist of mainly one protein, GvpA.",0
2656,5,Is Enlimomab effective for stroke treatment?,"Fewer patients had symptom-free recovery on enlimomab than placebo (p = 0.004), and more died (22.2 versus 16.2%).",0
880,25,What is known about maternal smoking and brain tumor risk?,"There was no association between the risk of brain tumors in the child and parental smoking prior to pregnancy, maternal smoking or regular exposure to others' cigarette smoke during pregnancy at home or at work, or passive smoking by the child during the first year of life.",0
1580,3,Do Conserved noncoding elements act as enhancers?,"In all four cases where the zebra fish and human CNE display a similar expression pattern in zebra fish, the human CNE also displays a similar expression pattern in mouse.",0
2995,29,What is the mechanism of action of Pitolisant?,MATERIALS AND TREATMENTS: Behavioral effects of pitolisant and the structural different H(3) receptor inverse agonists ciproxifan and ST-889 were tested in zymosan-induced inflammation and the spared nerve injury model for neuropathic pain.,0
2205,15,Does the Abelson-related gene (ARG) gene encode for a serine kinase?,"The ARG gene encodes for a nonreceptor tyrosine kinase characterized by high homology with c-Abl in the TK, SH2, and SH3 domains.",1
3241,0,Can Enlimomab improve stroke outcomes?,Treatment with a murine anti-ICAM-1 antibody (enlimomab) has been investigated in patients with acute ischemic stroke in the Enlimomab Acute Stroke Trial (EAST).,1
2526,7,"Which disease can be diagnosed with the ""probe to bone"" test?",Inter-observer reproducibility of diagnosis of diabetic foot osteomyelitis based on a combination of probe-to-bone test and simple radiography.,1
3399,2,Does CXorf21 escape X chromosome inactivation?," For this, we selected five SNPs (rs1801274 in FCGR2A and rs2286672 in PLD2, rs887369 in CXorf21, rs9782955 in LYST, and rs3794060 in NADSYN1)",1
3305,11,Which clotting factor is in the Andexxa?,"Intravenous andexanet alfa [coagulation factor Xa (recombinant), inactivated-zhzo; Andexxa __sup__ ® __end_sup__ ] is a first-in-class recombinant modified factor Xa protein that has been developed by Portola Pharmaceuticals as a universal antidote to reverse anticoagulant effects of direct or indirect factor Xa inhibitors.",0
2756,0,Which member of the human mycobiota is associated to atherosclerosis?,"Interestingly, the relative abundance of Mucor racemosus was negatively associated both with FRS and cIMT.",1
1408,9,Could Catecholaminergic Polymorphic Ventricular Tachycardia (CPVT) cause sudden cardiac death?,"Although rare, CPVT is suspected to cause a substantial part of sudden cardiac deaths in young individuals.",0
1547,5,Which are the APOBEC3 protein family members able to inhibit Vif-deficient HIV-1 replication?,"Furthermore, APOBEC3D, APOBEC3F, APOBEC3G, and APOBEC3H of the rhesus macaque also are packaged into and restrict Vif-deficient HIV-1 when stably expressed in T cells, and they are all neutralized by the simian immunodeficiency virus Vif protein.",1
4138,17,Is methotrexate used for the treatment of Rheumatoid Arthritis (RA)?,With,0
1880,3,Are alterations in ultraconserved elements implicated in breast cancer?,This is the first study indicating that SNPs in UCEs might be associated with cancer risk,1
3124,2,Which curated data resources for ChIP-seq data are available?,in a completely standardised format.,0
2271,2,Is davunetide being considered for the treatment of progressive supranuclear palsy?,"This review examines the disease characteristics of PSP, the rationale for treating PSP with davunetide and assesses some of the challenges of clinical trials in this patient population.",1
2562,35,Is subacute sclerosing panencephalitis caused by the Measles vaccine?,Subacute Sclerosing Panencephalitis (SSPE) is a debilitating disorder associated with the measles infection in childhood.,0
1940,0,What is the doRiNA database?,doRiNA: a database of RNA interactions in post-transcriptional regulation.,1
110,3,Is there a genetic component for happiness?,"Although twin studies estimate that genetic factors account for 35-50% of the variance in human happiness, knowledge of specific genes is limited.",1
1456,14,Which molecule is targeted by Daratumumab?,"In this study, we describe the cytotoxic mechanisms of action of daratumumab, a novel, high-affinity, therapeutic human mAb against a unique CD38 epitope.",0
1666,14,Which are the most widely reported side-effects in the treatment of Crohn's disease?,"A severe side effect is acute pancreatitis, which is specific for Crohn's disease",0
3307,25,Which drugs are included in the drug LONSURF?,TAS-102 (Lonsurf) is an oral fluoropyrimidine that is formed by the combination of 2 active drugs: trifluridine (a nucleoside analog) and tipiracil hydrochloride (a thymidine phosphorylase inhibitor).,0
3787,4,What is caused by SCUBE2 loss-of-function?,Our data demonstrate that Scube2 plays a key regulatory role in Ihh-dependent endochondral bone formation.,1
